id_nota,cedula,programa,grupo,materia,docente,corte,tipo_actividad,peso_pct,nota,fecha_evaluacion
N0021,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.5,2025-04-20
N0022,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,3.4,2025-04-25
N0023,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.8,2025-06-03
N0024,1175022528,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.7,2025-05-13
N0025,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,2.4,2025-03-19
N0026,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.5,2025-02-21
N0027,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.3,2025-03-27
N0028,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,2.8,2025-03-25
N0029,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,2.9,2025-05-27
N0030,1172055628,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,2.4,2025-06-10
N0031,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.5,2025-02-14
N0032,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.4,2025-03-03
N0033,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,2.8,2025-03-31
N0034,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,3.5,2025-03-28
N0035,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,2.6,2025-05-31
N0036,1172055628,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación (ausente),15,,2025-06-19
N0037,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.6,2025-02-13
N0038,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,5.0,2025-02-23
N0039,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,5.0,2025-04-26
N0040,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,5.0,2025-04-28
N0041,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.9,2025-05-10
N0042,1142623717,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,5.0,2025-06-15
N0043,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,5.0,2025-02-23
N0044,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,5.0,2025-02-11
N0045,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,5.0,2025-04-20
N0046,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,5.0,2025-04-04
N0047,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,4.7,2025-06-05
N0048,1142623717,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,4.5,2025-05-14
N0049,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.3,2025-03-15
N0050,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,4.2,2025-03-09
N0051,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.4,2025-04-12
N0052,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,4.1,2025-04-28
N0053,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.4,2025-05-23
N0054,1008046078,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.9,2025-06-15
N0055,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,4.7,2025-02-13
N0056,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,4.7,2025-02-24
N0057,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.3,2025-03-30
N0058,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,4.4,2025-04-29
N0059,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,4.3,2025-05-13
N0060,1008046078,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,4.0,2025-05-28
N0061,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.4,2025-02-16
N0062,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.4,2025-02-27
N0063,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,2.5,2025-03-24
N0064,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.1,2025-04-01
N0065,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,2.9,2025-05-06
N0066,1070450977,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.2,2025-05-26
N0067,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,2.9,2025-02-20
N0068,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,2.3,2025-03-09
N0069,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.6,2025-03-31
N0070,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,2.7,2025-04-28
N0071,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.0,2025-05-06
N0072,1070450977,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.2,2025-05-30
N0073,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.4,2025-03-17
N0074,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.1,2025-03-17
N0075,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito (ausente),30,,2025-04-22
N0076,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,2.6,2025-04-21
N0077,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,3.2,2025-06-09
N0078,1037448664,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación (ausente),15,,2025-06-01
N0079,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito (ausente),35,,2025-02-27
N0080,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.1,2025-03-11
N0081,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.0,2025-05-02
N0082,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,3.4,2025-04-29
N0083,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.6,2025-05-30
N0084,1037448664,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,2.5,2025-06-10
N0085,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito (ausente),35,,2025-02-11
N0086,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,4.1,2025-03-21
N0087,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.6,2025-04-22
N0088,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,4.9,2025-04-24
N0089,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.0,2025-06-06
N0090,1062821371,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,4.1,2025-05-05
N0091,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,5.0,2025-02-25
N0092,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,4.6,2025-02-11
N0093,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.5,2025-04-22
N0094,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,4.8,2025-04-19
N0095,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,4.5,2025-06-05
N0096,1062821371,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,4.1,2025-05-14
N0097,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.9,2025-02-11
N0098,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,4.4,2025-03-12
N0099,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,4.5,2025-04-24
N0100,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,5.0,2025-03-31
N0101,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.4,2025-06-12
N0102,1115313871,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,4.8,2025-06-10
N0103,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,4.5,2025-02-11
N0104,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,4.2,2025-03-10
N0105,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,4.5,2025-04-14
N0106,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,4.7,2025-04-04
N0107,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,4.8,2025-05-20
N0108,1115313871,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.5,2025-06-10
N0109,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,2.4,2025-02-20
N0110,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,2.1,2025-03-08
N0111,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,2.6,2025-03-24
N0112,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,2.9,2025-04-21
N0113,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,2.0,2025-05-16
N0114,1084224675,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,2.8,2025-06-20
N0115,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,2.7,2025-03-20
N0116,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,1.6,2025-03-20
N0117,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.1,2025-04-01
N0118,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,2.2,2025-04-08
N0119,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,2.7,2025-05-11
N0120,1084224675,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,2.6,2025-05-26
N0121,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.3,2025-02-17
N0122,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.4,2025-02-21
N0123,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.1,2025-04-24
N0124,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.5,2025-04-22
N0125,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,2.9,2025-05-06
N0126,1148774004,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.6,2025-05-27
N0127,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.1,2025-03-08
N0128,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.3,2025-03-20
N0129,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,2.4,2025-04-14
N0130,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,3.5,2025-04-30
N0131,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.6,2025-06-05
N0132,1148774004,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.1,2025-05-17
N0133,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.7,2025-03-01
N0134,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal (ausente),15,,2025-03-01
N0135,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito (ausente),30,,2025-03-27
N0136,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,5.0,2025-03-28
N0137,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.6,2025-06-12
N0138,1181682904,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,5.0,2025-06-17
N0139,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,4.8,2025-02-20
N0140,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,5.0,2025-02-12
N0141,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,5.0,2025-04-20
N0142,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial (ausente),20,,2025-04-20
N0143,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,5.0,2025-05-14
N0144,1181682904,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,5.0,2025-05-28
N0145,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.1,2025-03-14
N0146,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.6,2025-02-20
N0147,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.7,2025-04-07
N0148,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.5,2025-04-18
N0149,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.3,2025-06-14
N0150,1078734158,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.6,2025-05-21
N0151,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.7,2025-02-14
N0152,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.0,2025-03-08
N0153,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.4,2025-04-21
N0154,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,3.8,2025-04-20
N0155,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.3,2025-05-19
N0156,1078734158,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.8,2025-05-11
N0157,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,3.4,2025-02-15
N0158,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,3.3,2025-03-04
N0159,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.0,2025-03-31
N0160,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.3,2025-04-13
N0161,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,3.6,2025-05-30
N0162,1067997857,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.1,2025-06-10
N0163,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,3.0,2025-03-06
N0164,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,3.3,2025-02-14
N0165,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,2.3,2025-05-02
N0166,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial (ausente),20,,2025-04-14
N0167,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,2.9,2025-06-07
N0168,1067997857,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,3.6,2025-05-15
N0169,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Parcial escrito,35,4.1,2025-03-07
N0170,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,1,Taller grupal,15,4.2,2025-02-23
N0171,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Parcial escrito,30,3.2,2025-04-18
N0172,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,2,Proyecto parcial,20,3.4,2025-04-18
N0173,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Proyecto final,35,4.3,2025-05-22
N0174,1075198615,COF,A,Contabilidad Básica,Martha Lucía Giraldo,3,Sustentación,15,3.5,2025-05-17
N0175,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Parcial escrito,35,4.1,2025-03-13
N0176,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,1,Taller grupal,15,4.5,2025-02-28
N0177,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Parcial escrito,30,3.1,2025-04-09
N0178,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,2,Proyecto parcial,20,4.0,2025-04-02
N0179,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Proyecto final,35,3.8,2025-06-15
N0180,1075198615,COF,A,Costos y Presupuestos,Martha Lucía Giraldo,3,Sustentación,15,4.5,2025-06-11
N0181,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Parcial escrito,35,1.9,2025-03-06
N0182,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Taller grupal,15,2.6,2025-03-04
N0183,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Parcial escrito,30,2.4,2025-04-04
N0184,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Proyecto parcial,20,2.2,2025-03-28
N0185,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Proyecto final,35,2.3,2025-05-20
N0186,1147646609,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Sustentación,15,2.2,2025-05-18
N0187,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Parcial escrito,35,1.6,2025-03-03
N0188,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Taller grupal,15,2.4,2025-03-09
N0189,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Parcial escrito,30,2.0,2025-04-18
N0190,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Proyecto parcial,20,2.2,2025-03-27
N0191,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Proyecto final,35,1.9,2025-06-10
N0192,1147646609,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Sustentación,15,2.3,2025-05-18
N0193,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Parcial escrito,35,4.0,2025-03-11
N0194,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Taller grupal,15,4.6,2025-02-20
N0195,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Parcial escrito,30,4.3,2025-04-05
N0196,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Proyecto parcial,20,3.6,2025-04-19
N0197,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Proyecto final,35,3.8,2025-05-22
N0198,1188319925,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Sustentación,15,4.0,2025-05-07
N0199,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Parcial escrito,35,4.5,2025-02-23
N0200,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Taller grupal,15,4.6,2025-02-28
N0201,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Parcial escrito,30,3.6,2025-05-02
N0202,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Proyecto parcial,20,4.6,2025-03-27
N0203,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Proyecto final,35,4.1,2025-05-31
N0204,1188319925,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Sustentación,15,3.4,2025-06-19
N0205,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Parcial escrito,35,3.0,2025-02-14
N0206,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Taller grupal,15,4.1,2025-02-15
N0207,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Parcial escrito,30,3.1,2025-04-06
N0208,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Proyecto parcial,20,3.3,2025-04-21
N0209,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Proyecto final,35,3.9,2025-05-05
N0210,1174813697,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Sustentación (ausente),15,,2025-05-16
N0211,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Parcial escrito,35,3.8,2025-03-01
N0212,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Taller grupal (ausente),15,,2025-03-19
N0213,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Parcial escrito,30,3.0,2025-04-11
N0214,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Proyecto parcial,20,2.5,2025-03-26
N0215,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Proyecto final,35,3.8,2025-06-04
N0216,1174813697,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Sustentación,15,3.2,2025-05-14
N0217,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Parcial escrito,35,3.7,2025-03-16
N0218,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Taller grupal,15,3.5,2025-02-27
N0219,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Parcial escrito,30,3.6,2025-05-02
N0220,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Proyecto parcial,20,3.4,2025-04-07
N0221,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Proyecto final,35,3.8,2025-05-09
N0222,1000585462,TGE,A,Gestión Administrativa,Ricardo Andrade,3,Sustentación,15,3.0,2025-06-08
N0223,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Parcial escrito,35,4.1,2025-03-21
N0224,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,1,Taller grupal,15,2.6,2025-02-12
N0225,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Parcial escrito,30,3.8,2025-05-02
N0226,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,2,Proyecto parcial,20,3.5,2025-04-23
N0227,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Proyecto final,35,3.4,2025-06-15
N0228,1000585462,TGE,A,Fundamentos de Finanzas,Ricardo Andrade,3,Sustentación,15,4.0,2025-06-04
N0229,1038049534,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Parcial escrito,35,2.9,2025-03-02
N0230,1038049534,TGE,A,Gestión Administrativa,Ricardo Andrade,1,Taller grupal,15,2.8,2025-02-28
N0231,1038049534,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Parcial escrito,30,3.0,2025-04-22
N0232,1038049534,TGE,A,Gestión Administrativa,Ricardo Andrade,2,Proyecto parcial,20,3.2,2025-04-03
