cedula,materia,grupo,programa,promedio_actual,peso_evaluado,evaluaciones,promedio,estado_academico,nombre_completo
1106739211,Comportamiento del Consumidor,A,MER,5.215,150,6,3.48,Aprobando,Fredy Delgado
1106739211,Fundamentos de Mercadeo,A,MER,5.53,150,6,3.69,Aprobando,Fredy Delgado
1115313871,Contabilidad Básica,A,COF,6.985,150,6,4.66,Sobresaliente,Victoria Xiomara Ospina
1115313871,Costos y Presupuestos,A,COF,6.7,150,6,4.47,Sobresaliente,Victoria Xiomara Ospina
1118254755,Comercio Internacional,A,CEX,3.75,150,6,2.5,En riesgo,Alberto Rodríguez Cardona
1118254755,Logística y Distribución,A,CEX,3.12,130,5,2.4,En riesgo,Alberto Rodríguez Cardona
1126135275,Comportamiento del Consumidor,A,MER,3.4450000000000003,115,5,3.0,Aprobando,Andrés Alfonso
1126135275,Fundamentos de Mercadeo,A,MER,4.775,150,6,3.18,Aprobando,Andrés Alfonso
1134587281,Comportamiento del Consumidor,A,MER,5.405,150,6,3.6,Aprobando,Joel Cantillo Sánchez
1134587281,Fundamentos de Mercadeo,A,MER,4.77,150,6,3.18,Aprobando,Joel Cantillo Sánchez
1140691218,Comercio Internacional,A,CEX,5.375,150,6,3.58,Aprobando,Marina María Jaramillo
1140691218,Logística y Distribución,A,CEX,4.55,120,5,3.79,Aprobando,Marina María Jaramillo
1142623717,Contabilidad Básica,A,COF,7.325,150,6,4.88,Sobresaliente,Gloria Yaneth Romero Bohórquez
1142623717,Costos y Presupuestos,A,COF,7.32,150,6,4.88,Sobresaliente,Gloria Yaneth Romero Bohórquez
1143013499,Comportamiento del Consumidor,A,MER,5.91,150,6,3.94,Aprobando,Danny Gómez García
1143013499,Fundamentos de Mercadeo,A,MER,4.6499999999999995,115,5,4.04,Sobresaliente,Danny Gómez García
1143236051,Comercio Internacional,A,CEX,6.595,150,6,4.4,Sobresaliente,Armando Díaz
1143236051,Logística y Distribución,A,CEX,6.85,150,6,4.57,Sobresaliente,Armando Díaz
1145845168,Fundamentos de Finanzas,A,TGE,3.955,120,5,3.3,Aprobando,Andrés Ignacio Ramos Palacio
1145845168,Gestión Administrativa,A,TGE,4.705,150,6,3.14,Aprobando,Andrés Ignacio Ramos Palacio
1147646609,Fundamentos de Finanzas,A,TGE,2.9699999999999998,150,6,1.98,En riesgo,Marina Rosa Londoño
1147646609,Gestión Administrativa,A,TGE,3.35,150,6,2.23,En riesgo,Marina Rosa Londoño
1148774004,Contabilidad Básica,A,COF,4.85,150,6,3.23,Aprobando,Milena Astrid Rengifo Durán
1148774004,Costos y Presupuestos,A,COF,4.725,150,6,3.15,Aprobando,Milena Astrid Rengifo Durán
1149060279,Fundamentos de Finanzas,A,TGE,4.5649999999999995,150,6,3.04,Aprobando,María Carolina Gómez
1149060279,Gestión Administrativa,A,TGE,3.785,150,6,2.52,En riesgo,María Carolina Gómez
1157098332,Comercio Internacional,A,CEX,3.355,150,6,2.24,En riesgo,Jesús Martín Mosquera Caro
1157098332,Logística y Distribución,A,CEX,3.19,150,6,2.13,En riesgo,Jesús Martín Mosquera Caro
1161929819,Comercio Internacional,A,CEX,5.914999999999999,150,6,3.94,Aprobando,Elvia Andrea Morales González
1161929819,Logística y Distribución,A,CEX,6.31,150,6,4.21,Sobresaliente,Elvia Andrea Morales González
1164637083,Comercio Internacional,A,CEX,2.59,150,6,1.73,En riesgo,Lilia Emma Restrepo Erazo
1164637083,Logística y Distribución,A,CEX,2.505,135,5,1.86,En riesgo,Lilia Emma Restrepo Erazo
1168413006,Comercio Internacional,A,CEX,5.035,150,6,3.36,Aprobando,Magnolia Erazo Moreno
1168413006,Logística y Distribución,A,CEX,4.83,150,6,3.22,Aprobando,Magnolia Erazo Moreno
1171545158,Fundamentos de Finanzas,A,TGE,3.92,135,5,2.9,En riesgo,José García Castaño
1171545158,Gestión Administrativa,A,TGE,4.34,150,6,2.89,En riesgo,José García Castaño
1171987735,Comportamiento del Consumidor,A,MER,6.209999999999999,150,6,4.14,Sobresaliente,Diego Mauricio Gil Orozco
1171987735,Fundamentos de Mercadeo,A,MER,6.609999999999999,150,6,4.41,Sobresaliente,Diego Mauricio Gil Orozco
1172055628,Contabilidad Básica,A,COF,4.29,150,6,2.86,En riesgo,Mercedes Jenny Sierra Castaño
1172055628,Costos y Presupuestos,A,COF,4.1850000000000005,135,5,3.1,Aprobando,Mercedes Jenny Sierra Castaño
1173165555,Fundamentos de Finanzas,A,TGE,4.67,150,6,3.11,Aprobando,Fernando Sánchez
1173165555,Gestión Administrativa,A,TGE,4.155,150,6,2.77,En riesgo,Fernando Sánchez
1174813697,Fundamentos de Finanzas,A,TGE,4.54,135,5,3.36,Aprobando,Laura Angie López Parada
1174813697,Gestión Administrativa,A,TGE,4.62,135,5,3.42,Aprobando,Laura Angie López Parada
1175022528,Contabilidad Básica,A,COF,6.275,150,6,4.18,Sobresaliente,Ana Jenny Gómez Muñoz
1175022528,Costos y Presupuestos,A,COF,5.415,150,6,3.61,Aprobando,Ana Jenny Gómez Muñoz
1179718076,Comportamiento del Consumidor,A,MER,3.985,150,6,2.66,En riesgo,Carmen Milena Ramírez Contreras
1179718076,Fundamentos de Mercadeo,A,MER,4.055,150,6,2.7,En riesgo,Carmen Milena Ramírez Contreras
1181682904,Contabilidad Básica,A,COF,5.005,105,4,4.77,Sobresaliente,William Edgar Vega Palacios
1181682904,Costos y Presupuestos,A,COF,6.43,130,5,4.95,Sobresaliente,William Edgar Vega Palacios
1188319925,Fundamentos de Finanzas,A,TGE,6.21,150,6,4.14,Sobresaliente,Jaime Sepúlveda
1188319925,Gestión Administrativa,A,TGE,6.03,150,6,4.02,Sobresaliente,Jaime Sepúlveda
1189352563,Fundamentos de Finanzas,A,TGE,6.6899999999999995,150,6,4.46,Sobresaliente,Eduardo Romero Guerrero
1189352563,Gestión Administrativa,A,TGE,6.82,150,6,4.55,Sobresaliente,Eduardo Romero Guerrero
1192336980,Fundamentos de Finanzas,A,TGE,4.88,130,5,3.75,Aprobando,María Nubia Reyes Serna
1192336980,Gestión Administrativa,A,TGE,5.045,135,5,3.74,Aprobando,María Nubia Reyes Serna
1192837225,Comercio Internacional,A,CEX,3.72,135,5,2.76,En riesgo,Carolina Dina Moreno Quintero
1192837225,Logística y Distribución,A,CEX,3.72,150,6,2.48,En riesgo,Carolina Dina Moreno Quintero
1197637041,Fundamentos de Finanzas,A,TGE,6.555,150,6,4.37,Sobresaliente,Arturo Ospina Correa
1197637041,Gestión Administrativa,A,TGE,6.444999999999999,150,6,4.3,Sobresaliente,Arturo Ospina Correa
